var-0,var-1,ETIQ
0.5502,0.6081,1
0.5729,0.5772,1
0.511,0.639,1
0.5237,0.6157,1
0.5404,0.624,1
0.6048,0.6325,1
0.6037,0.6275,1
0.5312,0.62,1
0.5428,0.6594,1
0.5418,0.6019,1
0.5862,0.6159,1
0.5427,0.6085,1
0.515,0.5858,1
0.5542,0.6142,1
0.5517,0.5913,1
0.5533,0.5793,1
0.5706,0.6362,1
0.5706,0.6128,1
0.535,0.6217,1
0.5537,0.6324,1
0.5746,0.6093,1
0.517,0.6565,1
0.5385,0.5779,1
0.5424,0.5873,1
0.5271,0.5891,1
0.5774,0.6351,1
0.5898,0.6336,1
0.5102,0.5972,1
0.5297,0.624,1
0.5709,0.6137,1
0.5805,0.6318,1
0.5501,0.6167,1
0.4939,0.5993,1
0.5497,0.5928,1
0.5525,0.6369,1
0.5348,0.6241,1
0.5625,0.6403,1
0.5675,0.6159,1
0.602,0.634,1
0.5317,0.6307,1
0.5849,0.573,1
0.5463,0.5836,1
0.4452,0.4037,2
0.42,0.421,2
0.437,0.4408,2
0.4375,0.4084,2
0.4374,0.4135,2
0.4681,0.4347,2
0.4261,0.4333,2
0.4818,0.4332,2
0.4109,0.4333,2
0.4542,0.4376,2
0.4403,0.4748,2
0.4482,0.4383,2
0.4383,0.4459,2
0.4412,0.4398,2
0.4434,0.4656,2
0.455,0.4599,2
0.4285,0.42,2
0.4828,0.4289,2
0.4585,0.3948,2
0.4579,0.4028,2
0.4502,0.4065,2
0.4526,0.4552,2
0.4892,0.4351,2
0.4296,0.4416,2
0.4597,0.4475,2
0.4524,0.4287,2
0.4214,0.4333,2
0.4501,0.4567,2
0.4428,0.4078,2
0.4619,0.4161,2
0.4272,0.4427,2
0.4174,0.4334,2
0.4531,0.4023,2
0.4397,0.41,2
0.4249,0.4397,2
0.4338,0.4317,2
0.4524,0.458,2
0.4238,0.4344,2
0.4532,0.4181,2
0.4431,0.3939,2
0.445,0.4297,2
0.4445,0.4414,2
0.4213,0.4381,2
0.4579,0.4217,2
0.4729,0.4507,2
0.4517,0.4407,2
0.4146,0.4661,2
0.4545,0.4132,2
0.4446,0.375,2
0.4477,0.4612,2
0.4278,0.4392,2
0.4278,0.429,2
0.4252,0.4292,2
0.4617,0.4248,2
0.4132,0.4133,2
0.4674,0.432,2
0.4238,0.4286,2
0.4343,0.4175,2
0.4453,0.4298,2
0.398,0.4498,2
0.4637,0.4029,2
0.4532,0.3941,2
0.452,0.4227,2
0.4235,0.4217,2
0.438,0.4359,2
0.4419,0.4305,2
0.4736,0.4228,2
0.4367,0.4335,2
0.4308,0.4423,2
0.4236,0.45,2
0.4414,0.4058,2
0.4294,0.4484,2
0.4758,0.4368,2
0.4397,0.4591,2
0.4694,0.4471,2
0.4718,0.4328,2
0.4083,0.4112,2
0.4457,0.4136,2
0.4332,0.4179,2
0.4601,0.4365,2
0.4233,0.4645,2
0.4749,0.4484,2
0.4249,0.4237,2
0.4511,0.4064,2
0.4558,0.4235,2
0.4662,0.4518,2
0.4455,0.4381,2
0.4526,0.413,2
0.4423,0.4628,2
0.426,0.4221,2
0.4447,0.4325,2
0.4428,0.4245,2
0.4385,0.4176,2
0.4652,0.4403,2
0.4387,0.4327,2
0.4592,0.4404,2
0.4611,0.4394,2
0.4544,0.44,2
0.477,0.4251,2
0.4612,0.4193,2
0.1756,0.5297,3
0.2331,0.5575,3
0.2303,0.5229,3
0.1561,0.5602,3
0.2238,0.4766,3
0.0894,0.5505,3
0.1034,0.4957,3
0.1991,0.5287,3
0.0861,0.5664,3
0.1382,0.5987,3
0.0931,0.544,3
0.1164,0.537,3
0.0437,0.4792,3
0.1586,0.5995,3
0.102,0.6138,3
0.0787,0.5242,3
0.1059,0.526,3
0.1342,0.5536,3
0.185,0.5798,3
0.1724,0.5857,3
0.2141,0.4937,3
0.22,0.6041,3
0.2354,0.5709,3
0.0364,0.5812,3
0.1328,0.5438,3
0.1996,0.6002,3
0.1316,0.5154,3
0.2682,0.5351,3
0.1246,0.5474,3
0.1244,0.6267,3
0.1238,0.5084,3
0.1118,0.6009,3
0.1972,0.61,3
0.0243,0.4593,3
0.116,0.519,3
0.0866,0.5281,3
0.1071,0.4576,3
0.1626,0.5236,3
0.1657,0.5493,3
0.0688,0.4861,3
0.2451,0.478,3
0.082,0.5487,3
0.0833,0.575,3
0.2004,0.6018,3
0.1629,0.5701,3
0.1586,0.5633,3
0.18,0.6165,3
0.0018,0.5287,3
0.1486,0.5169,3
0.1471,0.4713,3
0.1058,0.4656,3
0.166,0.4975,3
0.0982,0.4698,3
0.1091,0.5585,3
0.0918,0.5738,3
0.1171,0.5311,3
0.1361,0.5971,3
0.1367,0.5208,3
0.0377,0.5401,3
0.2238,0.5417,3
0.1507,0.5867,3
0.1022,0.579,3
0.1997,0.5354,3
0.1557,0.5307,3
0.1727,0.5798,3
0.037,0.5448,3
0.2129,0.5046,3
0.138,0.6004,3
0.1534,0.5464,3
0.0777,0.5168,3
0.1799,0.5236,3
0.1389,0.6299,3
0.1726,0.532,3
0.2047,0.454,3
0.1052,0.5536,3
0.154,0.4803,3
0.0929,0.555,3
0.1882,0.5027,3
0.0963,0.5549,3
0.126,0.5548,3
0.1848,0.5952,3
0.1732,0.4924,3
0.2193,0.5425,3
0.1871,0.5498,3
0.2266,0.5016,3
0.2039,0.5396,3
0.2104,0.6128,3
0.1158,0.5371,3
0.2531,0.4968,3
0.1273,0.5441,3
0.1612,0.5106,3
0.2256,0.4758,3
0.2515,0.5499,3
0.0138,0.5198,3
0.1464,0.5762,3
0.1449,0.5984,3
0.1752,0.5361,3
0.0853,0.5697,3
0.2005,0.5848,3
0.202,0.5136,3
0.7943,0.3246,4
0.766,0.326,4
0.7424,0.2712,4
0.7775,0.3107,4
0.7285,0.2855,4
0.7285,0.3338,4
0.8066,0.3402,4
0.8244,0.3124,4
0.78,0.3237,4
0.747,0.3729,4
0.691,0.3062,4
0.7633,0.2937,4
0.8219,0.3146,4
0.7225,0.3105,4
0.7191,0.2881,4
0.7623,0.3484,4
0.743,0.1912,4
0.7543,0.2814,4
0.804,0.3089,4
0.7703,0.3069,4
0.7858,0.2829,4
0.8254,0.3045,4
0.7487,0.3074,4
0.8558,0.3498,4
0.7055,0.3005,4
0.7132,0.302,4
0.7976,0.3495,4
0.7585,0.2562,4
0.7868,0.2928,4
0.7243,0.3208,4
0.7256,0.3364,4
0.8436,0.3546,4
0.7454,0.2722,4
0.7096,0.2714,4
0.7299,0.3433,4
0.7392,0.2812,4
0.7506,0.2448,4
0.7482,0.3166,4
0.839,0.2928,4
0.7445,0.2817,4
0.7141,0.3214,4
0.7359,0.2978,4
0.7756,0.3044,4
0.7666,0.2721,4
0.7517,0.2919,4
0.758,0.272,4
0.8189,0.3193,4
0.7721,0.3172,4
0.656,0.3117,4
0.7125,0.2437,4
0.7008,0.3373,4
0.7471,0.1553,4
0.7487,0.3237,4
0.8682,0.3104,4
0.7205,0.2771,4
0.7837,0.3438,4
0.7612,0.2904,4
0.7351,0.2908,4
0.7441,0.33,4
0.7805,0.2747,4
0.8536,0.3273,4
0.7736,0.2762,4
0.7215,0.3404,4
0.7735,0.3552,4
0.847,0.2735,4
0.6805,0.337,4
0.6576,0.3242,4
0.7748,0.2713,4
0.9146,0.2708,4
0.7652,0.3846,4
0.6914,0.3052,4
0.7248,0.291,4
0.7475,0.3651,4
0.8091,0.2712,4
0.681,0.2973,4
0.7206,0.2561,4
0.7679,0.2973,4
0.7883,0.2808,4
0.7824,0.3046,4
0.6626,0.2777,4
0.6889,0.2593,4
0.7721,0.2951,4
0.7616,0.2784,4
0.7744,0.2911,4
0.7945,0.3162,4
0.6866,0.2659,4
0.7776,0.3625,4
0.788,0.2943,4
0.6861,0.2934,4
0.6962,0.2898,4
0.7447,0.2819,4
0.7542,0.2905,4
0.7987,0.3369,4
0.7151,0.2853,4
0.7376,0.3223,4
0.6747,0.3757,4
0.7716,0.2777,4
0.7435,0.3631,4
0.7776,0.3027,4
0.9103,0.3077,4
0.0897,0.1231,5
0.182,0.2045,5
0.1704,0.1439,5
0.0691,0.2304,5
0.1527,0.1516,5
0.1947,0.1704,5
0.1638,0.1594,5
0.1441,0.1515,5
0.1736,0.1659,5
0.0772,0.1847,5
0.1307,0.1782,5
0.218,0.1986,5
0.1361,0.1874,5
0.1867,0.1901,5
0.1084,0.1792,5
0.1428,0.2044,5
0.1786,0.1769,5
0.1437,0.1534,5
0.1221,0.1556,5
0.1332,0.1678,5
0.0898,0.099,5
0.1463,0.1958,5
0.1368,0.2053,5
0.1378,0.1582,5
0.0372,0.1428,5
0.2151,0.1111,5
0.1176,0.1538,5
0.2027,0.1321,5
0.0894,0.1633,5
0.1128,0.1047,5
0.0924,0.1296,5
0.1296,0.1462,5
0.1431,0.1229,5
0.0,0.1382,5
0.0724,0.1034,5
0.0935,0.1732,5
0.1176,0.1188,5
0.0657,0.203,5
0.0938,0.129,5
0.2021,0.1409,5
0.1163,0.1172,5
0.188,0.0715,5
0.0479,0.1346,5
0.1399,0.2079,5
0.1406,0.1754,5
0.1809,0.1419,5
0.0814,0.2055,5
0.1215,0.1647,5
0.1279,0.1882,5
0.1593,0.1886,5
0.1721,0.1349,5
0.168,0.1844,5
0.2212,0.0924,5
0.1015,0.1629,5
0.1182,0.1406,5
0.1758,0.1381,5
0.0957,0.1319,5
0.1787,0.13,5
0.2211,0.1389,5
0.0961,0.1351,5
0.2224,0.1794,5
0.0497,0.1303,5
0.1222,0.1367,5
0.1657,0.2435,5
0.2511,0.0939,5
0.2034,0.1604,5
0.1776,0.1733,5
0.1332,0.1324,5
0.0974,0.1439,5
0.085,0.2173,5
0.0913,0.1714,5
0.1986,0.1716,5
0.2197,0.1398,5
0.139,0.142,5
0.1123,0.2107,5
0.1747,0.1352,5
0.1568,0.1224,5
0.1516,0.1431,5
0.0727,0.1766,5
0.1915,0.1417,5
0.1423,0.1999,5
0.1948,0.1458,5
0.151,0.1997,5
0.1992,0.2268,5
0.1867,0.1668,5
0.1309,0.1187,5
0.1446,0.1713,5
0.1283,0.199,5
0.1151,0.099,5
0.1384,0.1836,5
0.1736,0.1452,5
0.1117,0.1122,5
0.094,0.1218,5
0.1854,0.1949,5
0.2341,0.1261,5
0.0974,0.1921,5
0.1135,0.205,5
0.22,0.1587,5
0.0342,0.175,5
0.1563,0.088,5
0.5823,0.0133,6
0.5441,0.0684,6
0.5626,0.0686,6
0.5784,0.0958,6
0.5776,0.0961,6
0.6625,0.0992,6
0.6109,0.0779,6
0.5929,0.0389,6
0.4932,0.0469,6
0.5643,0.0899,6
0.5327,0.0883,6
0.5929,0.0939,6
0.514,0.0727,6
0.5198,0.078,6
0.557,0.1238,6
0.4745,0.0865,6
0.5844,0.0355,6
0.5465,0.0462,6
0.6286,0.0586,6
0.5699,0.0959,6
0.5776,0.1259,6
0.5117,0.0448,6
0.5892,0.0509,6
0.6294,0.0932,6
0.5519,0.0218,6
0.5788,0.0,6
0.5473,0.0609,6
0.5687,0.0542,6
0.5492,0.1361,6
0.5291,0.0564,6
0.5422,0.0555,6
0.5764,0.0402,6
0.4452,0.122,6
0.5327,0.0453,6
0.5725,0.1327,6
0.5064,0.1039,6
0.5562,0.0789,6
0.5715,0.0346,6
0.6696,0.1329,6
0.5741,0.0943,6
0.55,0.065,6
0.4977,0.0777,6
0.6218,0.0402,6
0.5526,0.1,6
0.5332,0.0215,6
0.6039,0.0825,6
0.5629,0.0393,6
0.5048,0.035,6
0.5585,0.024,6
0.5207,0.0789,6
0.527,0.0934,6
0.5443,0.0276,6
0.5833,0.0387,6
0.6108,0.0457,6
0.5326,0.1214,6
0.5201,0.0566,6
0.577,0.0498,6
0.5732,0.1414,6
0.6172,0.0707,6
0.5257,0.0366,6
0.5629,0.068,6
0.5797,0.1424,6
0.6195,0.122,6
0.5359,0.107,6
0.5707,0.074,6
0.5591,0.0357,6
0.5527,0.0927,6
0.4535,0.0738,6
0.5766,0.0842,6
0.4831,0.1086,6
0.4822,0.085,6
0.5128,0.0856,6
0.5212,0.0806,6
0.5258,0.0358,6
0.5948,0.0685,6
0.6266,0.0419,6
0.6751,0.0086,6
0.552,0.0576,6
0.582,0.0395,6
0.601,0.0497,6
0.6116,0.0781,6
0.5548,0.0838,6
0.5855,0.0854,6
0.5335,0.0657,6
0.5524,0.074,6
0.4709,0.0,6
0.6032,0.0569,6
0.5757,0.1134,6
0.6024,0.0958,6
0.572,0.0862,6
0.5862,0.049,6
0.623,0.0707,6
0.5535,0.0343,6
0.633,0.0779,6
0.5446,0.1368,6
0.488,0.1136,6
0.5739,0.1071,6
0.5992,0.099,6
0.6085,0.044,6
0.5346,0.059,6
0.3031,0.7305,7
0.3113,0.7335,7
0.2889,0.7153,7
0.2673,0.7525,7
0.3237,0.722,7
0.3088,0.7154,7
0.301,0.72,7
0.3002,0.7249,7
0.2838,0.7232,7
0.2878,0.7333,7
0.3018,0.7426,7
0.3104,0.738,7
0.3243,0.7435,7
0.3227,0.6994,7
0.3012,0.7224,7
0.3074,0.7267,7
0.3129,0.7023,7
0.2993,0.7547,7
0.2975,0.7325,7
0.2986,0.7466,7
0.3314,0.7399,7
0.3124,0.7348,7
0.3022,0.7444,7
0.3566,0.7428,7
0.3099,0.7311,7
0.342,0.7122,7
0.3079,0.7267,7
0.2803,0.7303,7
0.3208,0.7315,7
0.3306,0.7139,7
0.286,0.7386,7
0.3143,0.7492,7
0.2625,0.7212,7
0.3104,0.7343,7
0.2912,0.7056,7
0.3179,0.7242,7
0.2716,0.7244,7
0.3146,0.7554,7
0.3225,0.7285,7
0.3102,0.7253,7
0.3189,0.7319,7
0.2967,0.7127,7
0.2931,0.7389,7
0.3119,0.7466,7
0.3606,0.7519,7
0.313,0.7295,7
0.3235,0.7218,7
0.3344,0.7502,7
0.2889,0.7596,7
0.3005,0.7534,7
0.2921,0.734,7
0.2878,0.7183,7
0.3598,0.7373,7
0.3083,0.7269,7
0.3185,0.7132,7
0.3344,0.7292,7
0.3387,0.7264,7
0.3101,0.7392,7
0.3117,0.7296,7
0.3107,0.695,7
0.3075,0.7231,7
0.2922,0.7067,7
0.3118,0.7405,7
0.3245,0.7323,7
0.3208,0.7141,7
0.3494,0.6996,7
0.3121,0.7225,7
0.3383,0.7337,7
0.3336,0.7251,7
0.3101,0.7103,7
0.3498,0.7383,7
0.2745,0.7323,7
0.323,0.7128,7
0.3285,0.7376,7
0.2633,0.711,7
0.2786,0.7318,7
0.3112,0.7242,7
0.3098,0.7399,7
0.294,0.7625,7
0.3183,0.7362,7
0.2964,0.7416,7
0.315,0.7185,7
0.2934,0.725,7
0.3157,0.7195,7
0.2967,0.7169,7
0.3169,0.7139,7
0.299,0.7518,7
0.3277,0.7404,7
0.3019,0.7288,7
0.3384,0.7322,7
0.321,0.7437,7
0.3185,0.7173,7
0.299,0.7419,7
0.3077,0.7266,7
0.2931,0.7196,7
0.2985,0.7311,7
0.3336,0.7173,7
0.3142,0.7407,7
0.2929,0.7413,7
0.3056,0.7041,7
0.7703,0.1046,8
0.7551,0.1027,8
0.7519,0.0969,8
0.7832,0.0875,8
0.7674,0.1182,8
0.7686,0.1143,8
0.7532,0.1188,8
0.7433,0.1274,8
0.7785,0.1146,8
0.7582,0.1135,8
0.7458,0.125,8
0.7185,0.1172,8
0.7635,0.0969,8
0.7839,0.1004,8
0.7964,0.1084,8
0.7557,0.0939,8
0.7797,0.1156,8
0.7454,0.11,8
0.7652,0.1253,8
0.7743,0.1106,8
0.7579,0.1254,8
0.7944,0.0924,8
0.7918,0.1066,8
0.774,0.093,8
0.7904,0.0901,8
0.7708,0.1075,8
0.7713,0.0924,8
0.767,0.09,8
0.7961,0.1205,8
0.7745,0.0952,8
0.7744,0.1031,8
0.7791,0.0973,8
0.7952,0.0816,8
0.7709,0.1069,8
0.7775,0.1211,8
0.7872,0.0934,8
0.7422,0.0807,8
0.7897,0.1068,8
0.7624,0.1364,8
0.7471,0.0974,8
0.8019,0.11,8
0.803,0.1092,8
0.7383,0.0885,8
0.7721,0.0937,8
0.7687,0.0985,8
0.8018,0.0946,8
0.7714,0.1152,8
0.7564,0.1178,8
0.7576,0.0932,8
0.7748,0.0989,8
0.7798,0.1031,8
0.7747,0.1002,8
0.78,0.1304,8
0.8188,0.1092,8
0.7596,0.1129,8
0.7668,0.1055,8
0.7708,0.1163,8
0.7689,0.1235,8
0.7671,0.084,8
0.7565,0.1404,8
0.7897,0.1139,8
0.7534,0.1124,8
0.7718,0.092,8
0.8187,0.1108,8
0.7679,0.1249,8
0.7306,0.0973,8
0.8124,0.1033,8
0.7672,0.117,8
0.7343,0.0976,8
0.7751,0.1126,8
0.7648,0.1058,8
0.7637,0.1041,8
0.7394,0.0802,8
0.7243,0.1118,8
0.7796,0.105,8
0.7538,0.0968,8
0.7716,0.1079,8
0.7764,0.0967,8
0.7663,0.1143,8
0.7483,0.0825,8
0.8032,0.1063,8
0.7505,0.119,8
0.761,0.12,8
0.7755,0.1034,8
0.7605,0.0739,8
0.7618,0.0979,8
0.7654,0.0924,8
0.7733,0.1124,8
0.7506,0.116,8
0.8111,0.108,8
0.7756,0.0778,8
0.7254,0.1429,8
0.7865,0.1186,8
0.7439,0.0856,8
0.7613,0.0743,8
0.7586,0.0937,8
0.7724,0.0983,8
0.7423,0.0949,8
0.7776,0.1203,8
0.7544,0.1115,8
0.4149,0.9005,9
0.3764,0.8426,9
0.4563,0.9046,9
0.5103,0.8639,9
0.4312,0.8851,9
0.502,0.7928,9
0.4083,0.8429,9
0.4931,0.8292,9
0.4878,0.852,9
0.556,0.9224,9
0.5387,0.8687,9
0.4681,0.9918,9
0.4255,0.8365,9
0.3447,0.9195,9
0.4412,0.9279,9
0.4133,0.8375,9
0.4616,0.8984,9
0.5091,0.8792,9
0.4294,0.8813,9
0.555,0.8317,9
0.5323,0.8694,9
0.5277,0.8187,9
0.4556,0.8961,9
0.5108,0.8783,9
0.4025,0.8398,9
0.2873,0.8198,9
0.4363,0.8641,9
0.441,0.8579,9
0.5218,0.8331,9
0.3922,0.8545,9
0.3773,0.8779,9
0.4726,0.9025,9
0.4217,0.8295,9
0.5203,0.8493,9
0.505,0.8973,9
0.4537,0.8852,9
0.4681,0.8218,9
0.517,0.8858,9
0.4913,0.8291,9
0.4575,0.8638,9
0.4724,0.8186,9
0.6475,0.8676,9
0.471,0.8733,9
0.3543,0.9087,9
0.483,0.843,9
0.5713,0.8471,9
0.4394,0.8634,9
0.4525,0.8571,9
0.5212,0.8983,9
0.5758,0.9013,9
0.3955,0.8966,9
0.471,0.8951,9
0.4148,0.8486,9
0.4256,0.8665,9
0.4983,0.8422,9
0.4403,0.8662,9
0.4196,0.9378,9
0.5447,0.9459,9
0.3518,0.8769,9
0.4129,0.8433,9
0.509,0.8078,9
0.4917,0.8852,9
0.3619,0.8871,9
0.3565,0.8503,9
0.4105,0.8296,9
0.4061,0.8494,9
0.493,0.9346,9
0.4494,0.9456,9
0.4559,0.8579,9
0.4461,0.8864,9
0.5047,0.8788,9
0.4119,0.8357,9
0.5368,0.9111,9
0.4331,0.8319,9
0.4373,0.9775,9
0.4144,0.8719,9
0.5174,0.8619,9
0.4919,0.8566,9
0.3975,0.954,9
0.4912,0.7982,9
0.4982,0.8419,9
0.3914,0.8883,9
0.4855,0.8669,9
0.5156,0.8692,9
0.4472,0.8074,9
0.4164,0.7784,9
0.4638,0.8465,9
0.4819,0.8379,9
0.4082,0.846,9
0.4894,0.8868,9
0.4455,0.8982,9
0.3785,0.9283,9
0.4615,0.8336,9
0.4223,0.9155,9
0.4624,0.8553,9
0.4608,0.8792,9
0.5288,0.8667,9
0.5078,0.9361,9
0.482,0.8519,9
0.5485,0.8859,9
0.7644,0.8492,10
0.6716,0.8282,10
0.7953,0.8535,10
0.8177,0.8483,10
0.7708,0.8893,10
0.8341,0.95,10
0.7961,0.8953,10
0.8911,0.9222,10
0.7827,0.8294,10
0.8732,0.8416,10
0.849,0.7732,10
0.849,0.7411,10
0.8018,0.8437,10
0.8213,0.8382,10
0.8754,0.8035,10
0.7876,0.9433,10
0.9052,0.9327,10
0.8635,0.9167,10
0.8248,0.8691,10
0.7959,0.819,10
0.8466,0.8284,10
0.8016,0.8532,10
0.7971,0.8913,10
0.9053,0.7946,10
0.8179,0.8784,10
0.8615,0.899,10
0.8848,0.9583,10
0.8308,0.7975,10
0.7553,0.93,10
0.8236,0.9835,10
1.0,0.8764,10
0.9298,0.7818,10
0.8311,0.8343,10
0.9277,0.887,10
0.8062,0.9049,10
0.7571,0.8652,10
0.9551,0.9779,10
0.77,0.7868,10
0.9048,0.8483,10
0.9637,0.9224,10
0.8371,0.8917,10
0.7811,0.8165,10
0.7463,0.8149,10
0.7329,0.8113,10
0.8679,0.8915,10
0.6879,0.8263,10
0.853,0.8377,10
0.8088,0.9287,10
0.8698,0.8963,10
0.7543,0.9049,10
0.7985,0.8654,10
0.8313,0.809,10
0.9059,0.8584,10
0.7838,0.8304,10
0.9377,0.8699,10
0.9238,0.8065,10
0.8645,0.8715,10
0.9488,0.814,10
0.8734,0.9227,10
0.9231,0.784,10
0.8392,0.9202,10
0.8351,0.8416,10
0.7616,0.854,10
0.8796,0.9353,10
0.8773,0.871,10
0.8362,0.9531,10
0.7969,0.8429,10
0.7499,0.8643,10
0.7352,0.829,10
0.8657,0.8591,10
0.8099,0.8545,10
0.7798,0.8805,10
0.7906,0.8641,10
0.9054,0.9575,10
0.8018,0.943,10
0.8896,0.9418,10
0.8677,0.8567,10
0.7476,0.8363,10
0.9808,0.9447,10
0.881,1.0,10
0.835,0.8328,10
0.8762,0.8818,10
0.7676,0.8457,10
0.8287,0.7944,10
0.8662,0.8314,10
0.8629,0.8496,10
0.8871,0.908,10
0.8844,0.8567,10
0.8043,0.9169,10
0.8782,0.8269,10
0.9254,0.8435,10
0.7656,0.8677,10
0.862,0.8555,10
0.7658,0.8058,10
0.7826,0.8203,10
0.8233,0.8192,10
0.6926,0.7957,10
0.8739,0.8444,10
0.8835,0.8168,10
0.8484,0.8515,10
0.8069,0.5108,11
0.822,0.5207,11
0.8972,0.4457,11
0.7573,0.5174,11
0.7629,0.5384,11
0.7743,0.4565,11
0.8694,0.5171,11
0.8628,0.5147,11
0.7713,0.5456,11
0.8218,0.5566,11
0.7611,0.4976,11
0.8154,0.5228,11
0.8076,0.5212,11
0.8636,0.4652,11
0.832,0.4194,11
0.7568,0.5838,11
0.7108,0.5382,11
0.8916,0.4417,11
0.8246,0.5492,11
0.8103,0.463,11
0.8173,0.5152,11
0.8255,0.5527,11
0.7936,0.4896,11
0.7329,0.5753,11
0.8156,0.5783,11
0.8254,0.5191,11
0.8615,0.4217,11
0.7773,0.5084,11
0.8085,0.5776,11
0.7382,0.5257,11
0.8592,0.4931,11
0.7956,0.4856,11
0.893,0.5921,11
0.805,0.5012,11
0.8159,0.4232,11
0.799,0.5483,11
0.7313,0.4944,11
0.8491,0.5013,11
0.9022,0.5088,11
0.8216,0.4183,11
0.8037,0.4994,11
0.7894,0.485,11
0.8488,0.5835,11
0.824,0.4946,11
0.7723,0.5525,11
0.7506,0.686,11
0.7187,0.5553,11
0.7771,0.5665,11
0.803,0.5435,11
0.8204,0.5446,11
0.8094,0.5452,11
0.7637,0.4736,11
0.8978,0.5051,11
0.8802,0.5391,11
0.8167,0.5214,11
0.8583,0.5397,11
0.926,0.5348,11
0.874,0.5287,11
0.9097,0.5735,11
0.6967,0.5488,11
0.7925,0.5313,11
0.815,0.4916,11
0.8539,0.496,11
0.8688,0.5002,11
0.8806,0.5063,11
0.8194,0.4438,11
0.7624,0.4495,11
0.7648,0.454,11
0.8737,0.5106,11
0.7683,0.5242,11
0.7332,0.5093,11
0.8353,0.5448,11
0.7625,0.4589,11
0.8147,0.479,11
0.8747,0.5825,11
0.7788,0.4943,11
0.7037,0.5679,11
0.812,0.4799,11
0.7966,0.5737,11
0.9323,0.4827,11
0.7916,0.5487,11
0.7683,0.4779,11
0.8972,0.547,11
0.759,0.5599,11
0.8334,0.4804,11
