var-0,var-1,var-2,var-3,var-4,var-5,var-6,var-7,var-8,var-9,var-10,var-11,var-12,var-13,var-14,var-15,var-16,var-17,var-18,var-19,var-20,var-21,var-22,var-23,var-24,var-25,var-26,var-27,var-28,var-29,var-30,var-31,ETIQ
0.1374,0.8727,0.744,0.4534,0.9149,0.4246,0.8626,0.3903,0.1921,0.1554,0.5928,0.909,0.5635,0.4625,0.206,0.4198,0.8075888612596384,0.9623558468839565,0.43535668292056506,0.8588455784808138,0.7182423791983076,0.8886814943629995,0.04623588619564345,0.9130986448423635,0.8212292682248771,0.20915615101386778,0.950017382894632,0.8079805553672537,0.574279655343787,0.7381544389316124,0.2670074928751167,0.3262321778806015,0
0.1497,0.8287,0.7988,0.4559,0.8364,0.5235,0.8429,0.5693,0.1753,0.113,0.5217,0.8053,0.5671,0.4434,0.1602,0.5266,0.7668385355448595,0.9623789273619899,0.98131935906942,0.28548573078687023,0.6700013166466804,0.14127353102702234,0.5951327636887873,0.9195796756956715,0.49435395848643476,0.7540686000867486,0.3014594294322652,0.5757022769599185,0.5892423434697962,0.4418921259443907,0.500236750308169,0.2320984164783869,0
0.1716,0.8064,0.8954,0.5644,0.9262,0.5497,0.7497,0.6103,0.2633,0.1521,0.5358,0.9084,0.5936,0.5501,0.0748,0.403,0.19197332103443343,0.3498686863671552,0.07974567705000712,0.19465631564517616,0.20770266641880264,0.09600092980546204,0.9996980377175202,0.8875339549944073,0.44868130335079137,0.31402166371204043,0.49847542061988426,0.48917002789298575,0.5350832729341234,0.47299212520988365,0.5416353907775867,0.5803538861448223,0
0.1618,0.8127,0.8607,0.5289,0.8223,0.5217,0.7997,0.5494,0.1383,0.129,0.4871,0.8731,0.5108,0.5204,0.2015,0.4875,0.46375997262576707,0.7437024470523893,0.695236793364116,0.522454609889347,0.42348679488615915,0.664073323782122,0.5555198729672033,0.265889827888687,0.2982754802250144,0.10423103937300005,0.6842406145899712,0.45298650995686374,0.42324464019231234,0.45259374641970257,0.5322726545467431,0.2735723561305046,0
0.2859,0.8419,0.8943,0.5866,0.8558,0.4095,0.8717,0.4892,0.2533,0.0955,0.3805,0.7548,0.4195,0.4717,0.0952,0.4594,0.3643255465919335,0.6272667630222782,0.6271288917045859,0.2095937611451607,0.6097729907070338,0.8749287603932815,0.8713374496408887,0.6522633075694795,0.6872100513412742,0.1612515341651452,0.13537974926720786,0.6281167881689058,0.33258694896527236,0.6680905234868587,0.6163980359411709,0.4327399882261812,0
0.1162,0.8311,0.8122,0.4276,0.8588,0.5002,0.8737,0.5551,0.1005,0.198,0.494,0.8881,0.4438,0.5496,0.1564,0.4404,0.07017267325726095,0.42351808992862205,0.08902228492414066,0.05524979791048534,0.2546980854885439,0.45687376278766356,0.7593995049120491,0.6288415398407439,0.18362978064542862,0.4749948092204215,0.272367763462335,0.9689688954102166,0.387676253165151,0.8949923316286392,0.20329209670168266,0.5713575000287521,0
0.2043,0.7907,0.8212,0.4581,0.7841,0.5326,0.8384,0.5071,0.2065,0.1252,0.5444,0.8586,0.535,0.5315,0.1561,0.4524,0.28248460193485714,0.6950690619200575,0.5065069608344968,0.5075296156707131,0.2636220634323303,0.441645686622701,0.3415258701814652,0.726546393909013,0.8227672613292927,0.29532988893801876,0.3864239969002409,0.35798393153127667,0.7740454976203436,0.45935823830234274,0.8381801895660227,0.4371539970960716,0
0.212,0.9056,0.9001,0.4313,0.8869,0.4832,0.7401,0.4998,0.1557,0.0991,0.5851,0.9729,0.5335,0.3373,0.1818,0.5447,0.4825965308099226,0.44676557819006135,0.47700809379806863,0.47991137269101614,0.6896387006328037,0.7198476893232635,0.8010969737326715,0.40525688164589924,0.776222341873989,0.720300212483414,0.6460270219025629,0.47673189599994514,0.19626870901406676,0.2682957215554545,0.6115249502691558,0.7528697603194937,0
0.1305,0.7845,0.8101,0.4376,0.8847,0.4131,0.8452,0.5612,0.0807,0.105,0.5904,0.798,0.5492,0.4133,0.1606,0.416,0.7935398606099887,0.9647259459117272,0.9923494116644874,0.7206556019502786,0.06548864838133828,0.8472865278538246,0.8364569716615516,0.016317818997595213,0.31112769069979584,0.25665529922677943,0.6832691320465314,0.2190976591067405,0.4933992688672691,0.1995452038600599,0.4878221539651387,0.2897054843031538,0
0.1332,0.8458,0.8301,0.4897,0.8278,0.5125,0.8166,0.476,0.1349,0.1773,0.5114,0.8152,0.5011,0.5326,0.1648,0.5185,0.32766572871399635,0.3220972200771334,0.7404421224932046,0.6103062881081006,0.2823220462034699,0.186365561491604,0.16853039195927333,0.09545322921951538,0.4564712996993837,0.1592533267108168,0.7749403248049402,0.8550503095142106,0.8159403344441778,0.42774381079638063,0.6907615690838806,0.2666525483691632,0
0.1728,0.866,0.8565,0.5114,0.8093,0.448,0.8313,0.5261,0.1502,0.1932,0.4966,0.783,0.5095,0.5058,0.1458,0.4648,0.790572738775103,0.9357357476153892,0.21987633831820674,0.744912691964874,0.9511437223975017,0.19172722525544061,0.5718944518557192,0.4393126809218142,0.3541225308202132,0.24328227393876792,0.3197265094608476,0.8722523763437185,0.5333891231196348,0.32092586919746213,0.9686494814631436,0.32697575870210493,0
0.1891,0.8922,0.7134,0.5611,0.7446,0.4956,0.8055,0.4709,0.2429,0.0887,0.6166,0.925,0.4977,0.5986,0.1797,0.6096,0.9748609274965017,0.8695919110882055,0.01604811394571537,0.2013272742878226,0.8479840747120673,0.5742410733609326,0.5228193173754018,0.8098135781591498,0.8752128761402733,0.44743838462229263,0.4744004901666155,0.8834661610682865,0.7451528811207356,0.16764250649205006,0.4947590072515676,0.7374444640107859,0
0.2323,0.8669,0.8551,0.5679,0.8602,0.4649,0.8536,0.4546,0.1536,0.1946,0.4575,0.8228,0.4628,0.4882,0.1297,0.5279,0.7640417052117675,0.954746349421138,0.326698242651259,0.04765403015638958,0.692282785313259,0.05013804909997255,0.5651792240587357,0.8597363526759456,0.5269497700502893,0.25274248659766313,0.6375744845860227,0.6855269067365978,0.7423347977868422,0.4900425539156872,0.30919566471381205,0.7668230738887238,0
0.1616,0.8903,0.9017,0.5826,0.9144,0.5422,0.8974,0.5616,0.1728,0.2461,0.4166,0.8923,0.5371,0.5109,0.1947,0.6123,0.39702823999942216,0.6011588397499769,0.17143016139205058,0.15773570625048083,0.6060550718704039,0.8644831653341858,0.9998379659971401,0.031138730964896166,0.49781725441028213,0.5593977190795242,0.39804968744720237,0.6949229424917035,0.21959396472493126,0.5403506728609012,0.23203754864086676,0.6361740362810205,0
0.2066,0.9173,0.9112,0.4639,0.909,0.5809,0.8506,0.5892,0.0986,0.23,0.4461,0.8123,0.5017,0.4836,0.1702,0.4146,0.9209823275856519,0.5111182541062665,0.3493556684867074,0.3974146652165286,0.577889456457702,0.3476968859110544,0.1455089742241399,0.8655634034033419,0.4490806313969973,0.5504019615867088,0.13889067830679797,0.8648634932102244,0.3925471961838342,0.4417227743499627,0.5735032147152895,0.5700850629840538,0
0.1705,0.8294,0.8295,0.5034,0.8377,0.5006,0.8388,0.4974,0.1734,0.169,0.506,0.8387,0.5035,0.5073,0.171,0.4991,0.7064894398362059,0.6098549399645308,0.722559030666315,0.9860259041500742,0.17509290094513885,0.8241687672106883,0.8223043071102077,0.343347824779511,0.21296196454907423,0.4676638709318945,0.2868695211851998,0.6780409780518216,0.3376940583796371,0.09586004296240726,0.67301675831315,0.7289112295423053,0
0.1638,0.8367,0.8193,0.5028,0.8306,0.4993,0.8206,0.4876,0.171,0.1599,0.4898,0.8441,0.487,0.506,0.1762,0.5116,0.5587765910686205,0.4583951040226183,0.1943362585979126,0.4328975725259948,0.1525588709216097,0.93220312044143,0.1874633777145578,0.6338814511159659,0.6498700969424195,0.35436237851877145,0.9034118001937298,0.6715151920103274,0.1883844354036043,0.39749514458644736,0.16126266050786084,0.4408337363399629,0
0.0796,0.8212,0.9064,0.4825,0.8402,0.5474,0.8484,0.4728,0.1846,0.1597,0.4674,0.7494,0.4533,0.5966,0.1262,0.4704,0.5700125055668297,0.9746576540880918,0.7935980998050621,0.36019086509285037,0.37611623823833595,0.049898122291304414,0.05183772866050185,0.3109734427656744,0.4517152636642748,0.36997861520158365,0.047534543446417436,0.7559412551397721,0.6855517831979202,0.6330646712968296,0.41811979127475574,0.6865794852975827,0
0.0662,0.7708,0.8021,0.4909,0.8093,0.443,0.7449,0.514,0.083,0.0412,0.5655,0.9,0.4649,0.5966,0.0805,0.6014,0.9498307423540859,0.04954204395411921,0.17674323990674723,0.636186112199416,0.36046181496956364,0.1855770297544811,0.9473848480754395,0.04276934560990486,0.31453028997672816,0.2879874226381216,0.18014938253849952,0.877411264302935,0.25665928727669984,0.3545741886935373,0.4244910932647772,0.43132520946428266,0
0.1944,0.76,0.876,0.4461,0.8391,0.5082,0.7617,0.4667,0.235,0.2088,0.4687,0.911,0.4303,0.5248,0.2161,0.5566,0.5980596301214961,0.428768925948003,0.3453378882969943,0.19493098178256762,0.16280938810391388,0.40562736845647096,0.75234582247811,0.4682266931317387,0.5226598643267303,0.32096000432046357,0.5991770005336183,0.6289171792603452,0.06210641810873211,0.19644233920475515,0.6400614524117813,0.06368618646824446,0
0.2151,0.782,0.8905,0.5365,0.8483,0.4528,0.8682,0.4089,0.1671,0.1985,0.4673,0.8536,0.4101,0.4665,0.1648,0.5664,0.7773161331433892,0.8786623406210771,0.1731062370044163,0.879651748956727,0.5814035960002586,0.4206377353752798,0.5133557590973299,0.889966798550269,0.8431189022631543,0.7859038927341363,0.6043477545292419,0.3308007188487659,0.7130712990043678,0.7304229816270942,0.20151544185346093,0.45799768555431886,0
0.2304,0.8145,0.8915,0.5121,0.8289,0.4529,0.8817,0.5438,0.15,0.1402,0.4665,0.8096,0.4394,0.5526,0.1572,0.4522,0.391965329418024,0.09429308322523045,0.959738707640517,0.1183786186206881,0.10682731436678661,0.7216934981852633,0.31083827259587127,0.28996590177406645,0.3109714926593243,0.40104547873255453,0.8432075737344571,0.3669727067715937,0.1534211441585064,0.43243631686950545,0.14070587583706018,0.6796062699672678,0
0.1162,0.8923,0.7563,0.5083,0.8552,0.4756,0.7857,0.562,0.1809,0.197,0.4481,0.7572,0.5632,0.4515,0.0975,0.5431,0.6495432693465584,0.8914564110269431,0.3455822753433141,0.9072154575721394,0.6197423374294808,0.6078287828306527,0.5325268752174284,0.012220350393190804,0.4799070468931361,0.9149107949395497,0.5951426805578693,0.6710098077421484,0.7772403623089126,0.8288919753292052,0.5211012941160327,0.41176634347428737,0
0.1018,0.8411,0.8345,0.5568,0.8454,0.4531,0.8501,0.5404,0.2295,0.1413,0.5104,0.7726,0.5611,0.452,0.1872,0.5478,0.1580535990286892,0.6770672305406121,0.6934089901217156,0.09689496092715388,0.6369910296948245,0.47430595829878197,0.5769622095369061,0.3991306989101824,0.7539324321342136,0.3369786993747549,0.2557894078486602,0.5066704114409069,0.319496775126409,0.30459006006229783,0.24759064003043385,0.8087469040665115,0
0.2268,0.8217,0.842,0.5444,0.7725,0.5457,0.8768,0.4578,0.1915,0.1385,0.4612,0.8347,0.5266,0.485,0.1467,0.4653,0.21784631376950991,0.3554669474792327,0.968813388664999,0.18850163089050076,0.8622965034704138,0.5312451051630381,0.07486637979898325,0.811221242183946,0.11955770399124492,0.899146117685669,0.8087382614042128,0.8044617279990737,0.44824274001575104,0.22975653383391312,0.49721632821117534,0.34197009310027415,0
0.1788,0.8869,0.882,0.4284,0.7819,0.4464,0.8001,0.5353,0.1651,0.2002,0.5497,0.8144,0.4277,0.4583,0.1837,0.5106,0.017287214496327974,0.8372092651616604,0.33849770452010564,0.9186190305515142,0.7269942391468164,0.3584253439639181,0.6253309806892837,0.9867250158432234,0.8370791742618447,0.4823122322313778,0.15092808534931534,0.7493228956612048,0.2261999841901544,0.7889864538306656,0.6895431423319167,0.7228646996626913,0
0.181,0.8068,0.8139,0.501,0.8392,0.5235,0.8268,0.5176,0.1651,0.1555,0.5255,0.8331,0.5117,0.4883,0.1883,0.4987,0.1710943357561402,0.20556893294532474,0.2892015722335409,0.8206624180193546,0.2469302036330141,0.2463842063123658,0.6147032420712142,0.5845755755569518,0.9505639653700659,0.36991445622167485,0.11308616784803728,0.7021770662227453,0.15752299298732195,0.5806321158985973,0.39708849561491016,0.8836865163528009,0
0.1619,0.8317,0.8325,0.4957,0.8372,0.5006,0.8383,0.5017,0.17,0.163,0.495,0.8303,0.4991,0.495,0.1714,0.4978,0.4187391092907451,0.5511145648429321,0.03109580371788745,0.005461745881927604,0.02766958503849759,0.05500110004610892,0.7707236391862504,0.9791484711904915,0.5493190313222948,0.8231724681384595,0.6308377212377763,0.43465865824595296,0.7967841829878015,0.3523612505557004,0.4789909367644908,0.18678913322341878,0
0.0708,0.9072,0.7981,0.5031,0.8564,0.5234,0.7903,0.4481,0.143,0.1785,0.3946,0.7757,0.4092,0.5703,0.209,0.5699,0.1246384806420936,0.38527126660502653,0.014628340766279058,0.43397974027907815,0.6616696207437576,0.624134409589682,0.9015557620509973,0.5516914886945516,0.39416684573112143,0.2079746169357701,0.8667707453200455,0.4933559992417345,0.5855155440804627,0.7516575368618009,0.6184599513198432,0.342524733626279,0
0.0904,0.805,0.896,0.4945,0.8041,0.4439,0.9011,0.4334,0.1438,0.1365,0.5225,0.9008,0.5394,0.5764,0.1314,0.5403,0.052770187726222995,0.3763269154591806,0.45910460096054595,0.33581483502497056,0.034524086109069874,0.6274685223388181,0.48882654273960335,0.709341337628441,0.6171782826480013,0.1326786996206128,0.4735395648918956,0.40923325479163575,0.8528687341870087,0.7225606333674247,0.5395890209690621,0.34856189489469186,0
0.0814,0.8474,0.9053,0.4104,0.7813,0.5068,0.8539,0.5085,0.2397,0.1436,0.5302,0.8419,0.5613,0.4792,0.2466,0.5663,0.36458430935415753,0.07055623932959942,0.26531356016686203,0.17607414790348352,0.46074171374219264,0.15360512791595748,0.07857627354314056,0.5248990305399446,0.25436691636740527,0.45296468415311947,0.4070324807719509,0.7105415095393246,0.4587208443655378,0.8797201784495439,0.3916224918398786,0.3170410698681391,0
0.2525,0.867,0.7908,0.5948,0.8028,0.4684,0.8596,0.5001,0.2691,0.149,0.5893,0.8232,0.4433,0.5074,0.2025,0.4588,0.14078755503076001,0.104527008064636,0.12038473999324284,0.705394943194934,0.806655387093411,0.8097608685754774,0.5757927988444504,0.6352071161056971,0.5857717970650967,0.9216709034259507,0.6533758298837491,0.7973840107612941,0.14439715053236007,0.44781743074729474,0.437542829070957,0.2953130788261261,0
0.1585,0.7713,0.7769,0.4844,0.8594,0.4557,0.8933,0.4822,0.1158,0.126,0.5545,0.8781,0.521,0.4428,0.1851,0.4381,0.7536886969020419,0.42765279021542957,0.5097591887856695,0.7130455453644915,0.6338861663386953,0.6088183675731145,0.6463096008521194,0.5355760083692563,0.4220841519340025,0.26356638345876277,0.6187587547109675,0.41348880784955094,0.35626098021266883,0.3692310152768854,0.6576057257495976,0.8349833991245423,0
0.1419,0.8431,0.8516,0.4863,0.8618,0.5024,0.8534,0.4826,0.1837,0.1742,0.4758,0.8485,0.5151,0.493,0.1532,0.4756,0.21391855289512163,0.30579933420118466,0.6912992137814441,0.41890885048292636,0.8584281580665825,0.3741219529226343,0.6693537660685733,0.11556706933541094,0.3996407332926111,0.3609174656224096,0.1613961935896143,0.18122118768613513,0.775655002908426,0.804953748679587,0.11658075038030907,0.7561970889193469,0
0.1259,0.7793,0.823,0.4247,0.8657,0.4643,0.7915,0.4863,0.1533,0.1535,0.4501,0.8847,0.5803,0.5133,0.2116,0.5629,0.299538340152529,0.8510880430317956,0.17554304677382027,0.6259133230205275,0.027778665742286268,0.6092864584476281,0.4514225323226031,0.8993990249970472,0.4464080989132713,0.33216609178543743,0.47942396059831327,0.6323267732805284,0.548815881354176,0.11946823371731133,0.7396728504446101,0.4544225196830796,0
0.1967,0.839,0.8444,0.5043,0.8646,0.4993,0.8504,0.4804,0.139,0.1699,0.5264,0.8044,0.5183,0.4816,0.135,0.5252,0.8254559249996858,0.7732033146846798,0.3386931531627878,0.6690440138379262,0.15476854922727068,0.48977365784682036,0.3893707779530763,0.4696596093621085,0.42619561307876525,0.8470513259375055,0.30919297397299406,0.4383869548997327,0.27313634328266767,0.27627637096581875,0.4730799747958424,0.12550800999124714,0
0.1654,0.8358,0.8365,0.5041,0.8271,0.4943,0.8303,0.5053,0.1728,0.1655,0.4966,0.8351,0.4989,0.4925,0.1684,0.5067,0.2740920706226495,0.2117196507352196,0.5198510017502086,0.6536205110018007,0.562767518825868,0.9530307863253891,0.5564492671164413,0.14924763061885926,0.7658264462036034,0.17777302368472256,0.44795272523287044,0.8197727198359552,0.09291869548237593,0.7716762590206205,0.41326047108528796,0.786281839403567,0
0.2116,0.7476,0.856,0.5882,0.7877,0.4641,0.7834,0.5196,0.1356,0.2364,0.5353,0.8423,0.5523,0.4416,0.1168,0.4847,0.641615189259421,0.31657688124926275,0.9385385760468693,0.12990023236884063,0.45765684584761834,0.6737363437900138,0.9694980869283334,0.5219009000689792,0.5172757698912599,0.320092911684782,0.2919831711167063,0.3524164842247119,0.3254591718979454,0.19612032548737143,0.2198547525932472,0.6685429493783764,0
0.1603,0.8845,0.8148,0.5366,0.8684,0.4808,0.8221,0.4499,0.1872,0.1651,0.4653,0.8756,0.4946,0.4729,0.1641,0.4654,0.380126287117007,0.7762920626979588,0.7869602149821939,0.9136729664942378,0.7214362996512742,0.12760236884067944,0.9914444089666797,0.9306820434785784,0.6659955664558224,0.5674337698962786,0.8023378432255074,0.258360995272268,0.2461346218417885,0.7130449037984224,0.6250343778054465,0.09504793896118849,0
0.1789,0.8465,0.8002,0.5198,0.8562,0.5032,0.8425,0.5093,0.1898,0.1845,0.524,0.8347,0.4973,0.4699,0.1811,0.5119,0.43526698813928355,0.6592975368913645,0.8342924830775176,0.9168838982430365,0.7230334277180315,0.09059346543940128,0.0678285133787121,0.36628066605571363,0.7298627458625683,0.3191228856069964,0.2486525322377563,0.37384609320625384,0.8390449293263385,0.5874369883002819,0.09749654963076104,0.4903517007986298,0
0.1952,0.8324,0.7476,0.529,0.8673,0.4291,0.7821,0.4929,0.0924,0.2625,0.4173,0.8721,0.5722,0.4148,0.1626,0.4886,0.45599492958001464,0.3113303644779406,0.749487848033331,0.7636932181583755,0.39969609337574363,0.6980395953386618,0.1925293928446824,0.9513923730377122,0.8105127322579778,0.3435136862942363,0.7789216859000222,0.21628191538188452,0.6500767707239559,0.5842171891376889,0.46434774944809853,0.3786195214355091,0
0.2709,0.8522,0.8898,0.583,0.7445,0.4121,0.8651,0.592,0.2141,0.26,0.4243,0.7825,0.4297,0.509,0.2698,0.4323,0.24147850811016136,0.15622565029834712,0.3821527005596802,0.8630489298374607,0.5982359684216775,0.6861087294646065,0.8182798896986081,0.3859070747212906,0.5509519816789874,0.19391515255475125,0.19973239160204231,0.7296537124316649,0.7397216677255439,0.25560157248777776,0.6041640045440853,0.6597617466536646,0
0.8294,0.1722,0.476,0.4936,0.7734,0.107,0.1698,0.4526,0.5132,0.4893,0.8251,0.1424,0.2102,0.8146,0.5438,0.4479,0.9595201327704681,0.9873259668642348,0.5351720730177222,0.749366537890681,0.853762638614894,0.5916397313634473,0.13019435160937165,0.6568050339522123,0.46269405732618957,0.37587269320867167,0.050696222653596947,0.699996823468834,0.14250080065679316,0.3724437897931183,0.6394905419630214,0.7499288819989748,1
0.7832,0.2343,0.4274,0.5529,0.8758,0.1505,0.0973,0.533,0.5358,0.5464,0.8618,0.2178,0.1504,0.8569,0.5642,0.4669,0.45570247686458365,0.8542480539434153,0.20925683481859314,0.011776748703135165,0.17883965122767664,0.17080465977620274,0.3843092071404094,0.20779683625618994,0.5237098227888474,0.3436775559275038,0.483953361972803,0.35269375679886156,0.42997369073645536,0.673994711775515,0.11441644843269462,0.554956721766318,1
0.8229,0.1411,0.5181,0.4828,0.8073,0.1541,0.1651,0.5213,0.4921,0.5193,0.8561,0.1925,0.1712,0.8416,0.5028,0.5153,0.3339621595970398,0.5890689288009751,0.1549500901963522,0.4845849381143106,0.35556692139582535,0.004909815829783337,0.6741953737544778,0.501510865222874,0.43672743311124385,0.27614744320971063,0.27093484665804146,0.74370082348032,0.923126226124556,0.4587662729402963,0.38382867554530925,0.36323368991211147,1
