var-0,var-1,var-2,var-3,var-4,var-5,var-6,ETIQ
0.233,0.7191,0.3629,0.1932,0.854,0.5898,0.4055,2
0.2218,0.6067,0.3539,0.1791,0.93,0.5612,0.4241,2
0.2111,0.6456,0.253,0.2555,0.9592,0.6446,0.4616,2
0.2793,0.6375,0.2201,0.2156,0.8648,0.6378,0.4753,2
0.296,0.5826,0.2583,0.2887,0.9489,0.6385,0.434,2
0.2474,0.7548,0.3338,0.2148,0.8893,0.516,0.4127,2
0.2578,0.6228,0.3421,0.2719,0.8892,0.5474,0.4591,2
0.2227,0.6524,0.3023,0.1893,0.9368,0.5424,0.4101,2
0.2467,0.6122,0.1295,0.29,0.9161,0.614,0.4829,2
0.2435,0.6413,0.2596,0.2095,0.8827,0.5665,0.4254,2
0.2517,0.6532,0.2943,0.2213,0.8977,0.5262,0.4421,2
0.2617,0.72,0.3642,0.2044,0.9106,0.5885,0.4556,2
0.2053,0.6843,0.2258,0.2062,0.9493,0.5446,0.4104,2
0.227,0.6688,0.1874,0.2876,0.937,0.6408,0.4676,2
0.2261,0.6561,0.4217,0.2149,0.9047,0.664,0.4664,2
0.2825,0.6763,0.2732,0.2596,0.9436,0.4973,0.5307,2
0.2348,0.6389,0.223,0.2398,0.9049,0.5662,0.5022,2
0.2236,0.6966,0.1534,0.2915,0.906,0.4999,0.3991,2
0.3008,0.6991,0.3623,0.2468,0.8973,0.5599,0.4276,2
0.3425,0.5848,0.3265,0.3006,0.8805,0.6561,0.457,2
0.2103,0.6385,0.2736,0.2016,0.941,0.4868,0.4482,2
0.2345,0.6295,0.3319,0.2231,0.9894,0.6687,0.4163,2
0.2327,0.637,0.2189,0.329,0.9322,0.4725,0.4355,2
0.2531,0.6031,0.3392,0.2673,0.8874,0.547,0.4768,2
0.2463,0.7328,0.3677,0.2356,0.9255,0.5201,0.3834,2
0.16,0.7026,0.2959,0.2458,0.901,0.5852,0.4554,2
0.278,0.6603,0.3147,0.2865,0.9483,0.4934,0.5113,2
0.1248,0.6271,0.5041,0.1142,0.7314,0.2242,0.5959,3
0.203,0.718,0.4872,0.1399,0.7931,0.3007,0.554,3
0.1029,0.593,0.1992,0.1954,0.765,0.2181,0.5263,3
0.2002,0.6551,0.3508,0.0595,0.7446,0.154,0.6059,3
0.2486,0.5921,0.4127,0.1021,0.7502,0.1862,0.4876,3
0.0587,0.5225,0.2666,0.1987,0.8437,0.1927,0.6313,3
0.1999,0.6961,0.3584,0.0568,0.7576,0.2382,0.5087,3
0.1196,0.804,0.1601,0.0882,0.9113,0.1308,0.508,3
0.1792,0.6543,0.1639,0.0347,0.7951,0.2624,0.5456,3
0.1567,0.6428,0.3181,0.1396,0.77,0.4043,0.6577,3
0.1903,0.6019,0.4453,0.1957,0.9082,0.2958,0.5435,3
0.1444,0.583,0.1591,0.0944,0.7569,0.3018,0.6189,3
0.0239,0.711,0.3459,0.0016,0.8421,0.1173,0.4625,3
0.1034,0.7076,0.297,0.0532,0.7295,0.1459,0.593,3
0.12,0.6301,0.5245,0.019,0.7601,0.2632,0.5378,3
0.1743,0.6872,0.4347,0.1107,0.8316,0.2096,0.5602,3
0.2147,0.6662,0.2333,0.0768,0.8201,0.2227,0.4941,3
0.0,0.4928,0.4566,0.2089,0.7018,0.1469,0.4303,3
0.1485,0.4601,0.2987,0.0879,0.7763,0.3261,0.5361,3
0.09,0.6779,0.4974,0.09,0.9607,0.2552,0.5863,3
0.135,0.5984,0.5359,0.1451,0.8118,0.0367,0.4904,3
0.1115,0.7058,0.408,0.2163,0.6976,0.1494,0.5888,3
0.1326,0.6472,0.4343,0.09,0.7498,0.3073,0.6098,3
0.1473,0.565,0.5113,0.1484,0.8145,0.1541,0.4014,3
0.1683,0.6957,0.1574,0.2084,0.9105,0.1907,0.532,3
0.1161,0.6278,0.3713,0.081,0.7377,0.2656,0.521,3
0.0305,0.618,0.1941,0.201,0.7136,0.1606,0.6262,3
0.2578,0.7226,0.2028,0.1727,0.805,0.2605,0.5503,3
0.2069,0.6823,0.3348,0.0324,0.84,0.2113,0.5659,3
0.1331,0.6296,0.4565,0.0626,0.7095,0.2313,0.5051,3
0.0975,0.6692,0.3113,0.1316,0.7461,0.2948,0.5411,3
0.2009,0.6497,0.4334,0.0611,0.7717,0.1954,0.4624,3
0.1636,0.6963,0.2403,0.1382,0.7482,0.1718,0.6834,3
0.1834,0.7002,0.4104,0.1254,0.8024,0.2777,0.5829,3
0.187,0.6709,0.3832,0.1154,0.7751,0.1395,0.4693,3
0.0207,0.7202,0.4609,0.1119,0.8219,0.2359,0.5395,3
0.1711,0.6227,0.562,0.0653,0.8092,0.0794,0.4527,3
0.0095,0.6571,0.3256,0.3181,0.8164,0.1888,0.52,3
0.0902,0.5741,0.3972,0.1535,0.8249,0.3292,0.447,3
0.0988,0.6105,0.5718,0.051,0.901,0.1717,0.471,3
0.1644,0.5797,0.2937,0.0279,0.8493,0.1678,0.5391,3
0.1747,0.6415,0.474,0.131,0.8054,0.2509,0.5306,3
0.1875,0.5927,0.3807,0.1294,0.7506,0.2261,0.6127,3
0.1645,0.625,0.3466,0.1261,0.8039,0.1126,0.4827,3
0.1747,0.6267,0.2347,0.0157,0.8113,0.1804,0.4306,3
0.0755,0.6919,0.3748,0.141,0.769,0.1306,0.5835,3
0.069,0.6847,0.3776,0.2382,0.7502,0.2688,0.5279,3
0.1666,0.6607,0.4657,0.11,0.7938,0.1909,0.5309,3
0.1312,0.6832,0.5589,0.029,0.7432,0.3366,0.4207,3
0.152,0.6597,0.3413,0.0778,0.6904,0.2501,0.4918,3
0.1062,0.5941,0.333,0.0922,0.8237,0.3484,0.4566,3
0.2059,0.6251,0.4775,0.1197,0.7903,0.0912,0.5675,3
0.1062,0.5455,0.3934,0.0,0.7813,0.2114,0.4838,3
0.0353,0.7122,0.3882,0.1236,0.7836,0.1202,0.4696,3
0.1975,0.724,0.3848,0.0946,0.9794,0.1824,0.5332,3
0.0712,0.7857,0.4125,0.1404,0.7648,0.1837,0.5377,3
0.1296,0.6292,0.4698,0.0659,0.8375,0.2326,0.4967,3
0.0758,0.5355,0.4042,0.1538,0.7781,0.2486,0.5096,3
0.0585,0.6861,0.2334,0.116,0.8099,0.1732,0.6044,3
0.166,0.7025,0.3358,0.0813,0.9111,0.2601,0.4176,3
0.1468,0.6064,0.3298,0.0569,0.8584,0.255,0.5163,3
0.1528,0.7835,0.5271,0.1354,0.7407,0.2228,0.6607,3
0.067,0.6518,0.3013,0.1559,0.7896,0.2397,0.6568,3
0.2261,0.6354,0.4413,0.0526,0.8462,0.0922,0.6039,3
0.1636,0.4917,0.317,0.0487,0.7644,0.2287,0.5074,3
0.0938,0.6972,0.2854,0.1467,0.9299,0.2438,0.494,3
0.0964,0.5934,0.2311,0.1455,0.7153,0.2481,0.5487,3
0.0161,0.6841,0.3813,0.2322,0.8649,0.1787,0.4203,3
0.1681,0.6397,0.1805,0.1197,0.7926,0.0982,0.4913,3
0.0745,0.6226,0.2632,0.0947,0.7008,0.1923,0.4229,3
0.12,0.7311,0.4011,0.0906,0.8469,0.3916,0.6412,3
0.116,0.7234,0.3277,0.146,0.7755,0.1468,0.5058,3
0.1317,0.5429,0.2663,0.1438,0.8227,0.2535,0.5186,3
0.0864,0.5852,0.1408,0.0697,0.786,0.0834,0.5735,3
0.1803,0.7097,0.4553,0.1279,0.7819,0.2921,0.4771,3
0.1056,0.6734,0.3886,0.1141,0.8133,0.191,0.7106,3
0.2275,0.6294,0.2352,0.164,0.8363,0.224,0.495,3
0.2242,0.663,0.2632,0.1263,0.7881,0.1423,0.5719,3
0.2207,0.6835,0.6008,0.0436,0.7323,0.0859,0.4548,3
0.1048,0.6764,0.2397,0.169,0.8339,0.2081,0.5077,3
0.1385,0.7124,0.4402,0.1244,0.8293,0.0692,0.4094,3
0.1223,0.69,0.3163,0.1057,0.8614,0.1336,0.6082,3
0.1484,0.7489,0.3151,0.046,0.7785,0.304,0.5169,3
0.1389,0.6574,0.4474,0.0894,0.7705,0.3552,0.717,3
